[2024-11-14 21:40:37 +0000] [4421] [INFO] Starting gunicorn 23.0.0
[2024-11-14 21:40:37 +0000] [4421] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:40:37 +0000] [4421] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:40:38 +0000] [4421] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:40:38 +0000] [4421] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:40:39 +0000] [4421] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:40:39 +0000] [4421] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:40:40 +0000] [4421] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:40:40 +0000] [4421] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:40:41 +0000] [4421] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:40:41 +0000] [4421] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:40:42 +0000] [4421] [ERROR] Can't connect to ('0.0.0.0', 8050)
[2024-11-14 21:43:19 +0000] [4873] [INFO] Starting gunicorn 23.0.0
[2024-11-14 21:43:19 +0000] [4873] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:43:19 +0000] [4873] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:43:20 +0000] [4873] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:43:20 +0000] [4873] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:43:21 +0000] [4873] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:43:21 +0000] [4873] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:43:22 +0000] [4873] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:43:22 +0000] [4873] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:43:23 +0000] [4873] [ERROR] Connection in use: ('0.0.0.0', 8050)
[2024-11-14 21:43:23 +0000] [4873] [ERROR] connection to ('0.0.0.0', 8050) failed: [Errno 98] Address already in use
[2024-11-14 21:43:24 +0000] [4873] [ERROR] Can't connect to ('0.0.0.0', 8050)
